,SDL 1,SDL 2,SDL 3,SDL 4,SDL 5,SDL 6,SDL 7,SDL 8,SDL 9,SDL 10,SDL 11,SDL 12,SDL 13,SDL 14,SDL 15,SDL 16,SDL 17,SDL 18,SDL 19,SDL 20,SDL 21,SDL 22,SDL 23,SDL 24,SDL 25,SDL 26,SDL 27,SDL 28,SDL 29,SDL 30,SDL 31,SDL 32,SDL 33,SDL 34,SDL 35,SDL 36,SDL 37,SDL 38,SDL 39,SDL 40,SDL 41,SDL 42,SDL 43,SDL 44,SDL 45,SDL 46,SDL 47,SDL 48,SDL 49,SDL 50
CK 1,1.6043386238276915,4.137468375503748,9.273702208432777,4.351024042313758,2.7547018437702864,4.5319059214835,8.314680301376606,8.923671240810785,5.175577638927652,7.268278588869403,8.803911063871755,6.776944071064638,2.1287199573361977,5.691072869160321,9.78954078927688,8.47226540460721,4.166631188753496,3.7029006225523604,9.497328916590707,5.677048068571714,6.222768130256433,4.4573596202967405,4.116666759063982,5.195342511867999,8.31525767805355,3.903610249137334,3.1777045585047916,0.5287383571132402,9.108962573481724,8.07774906073844,7.54005415045496,6.834023025997226,5.090136961405606,3.9383382765034347,4.090619550951546,8.339231875759832,4.922923323495935,2.770888805556457,9.641347356144204,9.214034439041283,4.391897371971992,9.805358493313875,7.143510153298537,3.741813833313787,5.883469136910322,4.581112460839092,4.592918399836582,5.298453439487428,5.740474513995626,10.18255041962488
CK 2,3.84898101558644,1.4899419392841982,5.922257253229637,4.891608872831987,1.0409151059605237,5.802091560481638,4.893588520822654,5.560400802359673,2.2941844553200177,3.620082365528801,5.113950532314939,3.445645499542508,1.9618599466253104,3.136848598307203,6.090855012548852,4.781574975139568,5.376327707417037,3.972845195863065,5.911872044773711,2.175999698436348,3.811112159759072,5.313289787246407,2.493951840493801,2.2609474201782285,4.608927990091254,3.833288503755102,4.35188849394053,3.2623085198510897,5.922375237829382,5.242967479264439,3.934198276739796,3.591875735185315,2.3999356331504202,3.9498818814012204,5.594351208212905,4.813154717497272,5.012929537878687,1.7371656193432485,6.061533342332584,5.584802393366564,2.5642212105052398,6.18489880307644,3.7093006073557544,1.4721274750718205,3.166973446451823,3.743203545285561,1.816617375543826,2.2302224191402944,2.0400168764088544,6.97886758273776
CK 3,3.706813572238687,1.1141813220253558,7.171363354318186,5.443344221045349,0.639719711639764,6.180341409765223,5.287618434440109,6.8092256960544235,3.5703780577765234,4.741745164194172,5.927093762749128,4.722413628331102,2.067504037084195,4.388924586498095,6.928960045201792,5.601580826890103,5.749415117642852,2.693255978067532,7.0580395151651105,2.7018606027113514,5.057808017117724,5.7950576642298675,3.4759350020218642,3.5428673974864573,5.525522967978676,2.5832951352225546,3.0580942520593433,2.513965612233159,7.20230775037658,6.540363436441891,5.091950024923664,3.8053277011206967,3.6503314627932246,4.585022456716418,5.8846497897909575,5.33153625490452,5.709044523190066,0.4536733886919403,6.646087841910478,6.695957394112711,1.723017374210159,7.298381355502235,4.958174101782815,0.7454989441052972,2.937804329370914,4.618669914344659,1.5762771153493826,2.2703349583512704,3.107727137102915,8.25150392682926
CK 4,3.8528514666858986,4.069924854636154,4.831778733037169,3.1771374684774063,3.182142486646813,4.304885792043352,6.440034850941471,4.514491858221356,0.9968249974898693,3.693096053035332,5.829310527964996,2.571945003277555,2.6239864068975907,1.020896842675881,6.619767857701342,5.531434027504501,3.9523444290604925,6.387608371877393,5.426250022654983,4.06891463195264,1.5270704409358749,3.675439927083677,0.6364524263417448,1.0721689247876256,5.138192120846847,6.307319966606871,6.5645552515676195,4.493305123087688,4.534312409814855,3.3899944123476407,3.754060402513011,5.539990900291549,0.7355111606361846,2.266586239113782,4.3054181458983,6.16966695445568,2.9803946755604134,4.08289446094228,7.157980589120528,5.296481492152284,5.160516972476873,5.811924601309582,3.0315788281865363,4.0650474885569645,5.538437862178384,1.5372825328598836,4.332611691760362,4.547887757430718,3.0000764093244223,5.5875949521214645
CK 5,5.2460905052775,5.126838044698487,3.6495694568311596,3.971730744933736,4.5225812892089206,5.113460382957579,6.588177267545832,3.379754447003882,1.4940141627656958,3.348321313901854,5.540063153531276,1.954821984855806,4.100865599385188,0.6243640578169691,6.162329212976066,5.29079907867354,4.839421112837515,7.6979894257768136,4.508928275442576,4.656879801988402,0.05195762374490156,4.457293739552622,2.067881316188635,1.5462914781048362,4.815756296328828,7.5825492791563445,7.952260492694347,5.97119904620006,3.2320026749916804,1.95931627433532,3.2412971778485193,6.005151505308453,1.3602168005973876,3.2493025678881877,5.2352093969748745,6.2227289137507915,3.536923019185326,5.39984291439581,6.9899629205544365,4.497050840373988,6.2448734327718665,4.924378605225777,2.3859830638055306,5.210630155669086,6.3053267678721125,2.30002633001712,5.294866938687963,5.335804630241789,3.3613304626019227,4.2405859899959095
CK 6,3.891926936529991,2.9155773011358206,4.9426058418078735,4.013711472879568,2.2456370029029187,5.070565711566761,5.460922900877661,4.5920797397009085,0.9065163205809311,3.1641008121839596,5.123148801560592,2.4482281266849295,2.2171819330633222,1.6828131920142155,6.004822107785733,4.804082939065784,4.675076074660745,5.399193576826071,5.236811343946563,2.9544020507378326,2.3514912198927385,4.490404945792588,1.3026562706326812,0.9023212800381799,4.484706793188609,5.283376285061009,5.684507250376962,4.010250757597988,4.807464491810625,3.9283910200824788,3.3481440330943135,4.442104918948829,0.9452213057082989,3.0478590875747247,4.975118847113989,5.244875617867884,3.9611044758276477,3.1059666147721967,6.33726850100284,5.007809758929283,4.0195348594931914,5.577328180438794,2.8338147032272203,2.9450734570509907,4.369128937579362,2.5580767760096284,3.161484949934141,3.379605075329971,2.053732729677416,5.882369752124681
CK 7,1.864032171786764,3.852368083282496,6.798027706455714,2.4336521886286615,2.3764819955548795,3.2694649709614407,7.338966803021723,6.468709484241875,2.721153283579358,5.269962269823437,7.207391631655731,4.4120524647783,1.0511223934015215,3.023704074712718,8.106595223414079,6.88354995148963,2.8417607616148244,5.283492027618745,7.2674854060067124,4.658946258807432,3.4833870860463514,2.81225833531612,1.3762150164159752,2.7669544291389094,6.584838453981561,5.3073810198948195,5.205142792750401,2.6940734799457253,6.531552803401156,5.3832781421150155,5.435346217933437,6.114968431414111,2.5539235924013917,1.5826930599042355,3.060173692259434,7.192027057506987,2.713999872642386,3.17433338201606,8.357968808199482,7.07428841780758,4.726118237857427,7.6278984869795465,4.842346471020679,3.644959494293508,5.664131625090932,1.877828460632206,4.264040250839891,4.759060526547763,4.076237671350426,7.588931792041798
CK 8,4.944787955057245,4.188929854182957,3.7178974082957996,4.215266888473282,3.7140703176832113,5.359760766087909,5.753283557531328,3.392890562131002,0.5776810165936282,2.7011716355946445,4.890547128790605,1.4601312008979257,3.5305819668670546,0.40311460296893525,5.614029344454252,4.6134493057835915,5.029128822577182,6.838610732287269,4.297158447646873,3.705185902244,1.0085452733660303,4.715327927688001,1.7575227910838624,0.6114466487654132,4.177699691917603,6.703987721157298,7.152115097303006,5.387147767419521,3.4675986437184845,2.4691451661227988,2.698863003617097,5.079774110398024,0.5675968657111902,3.3521104282262826,5.396568089799877,5.420431312879198,3.917810983720854,4.561555567370456,6.288413039185689,4.182956057737393,5.307035920291291,4.686959750259076,1.9252574993737877,4.295020969566271,5.343617592837507,2.513937440184568,4.34079541167561,4.372886595794459,2.4332689024982437,4.536032715109858
CK 9,3.212082685146446,1.6747408153623307,7.528016097084644,5.136568749805361,0.6110162124252932,5.801061048412791,5.852566843233616,7.166243897812028,3.7531111863075544,5.182022072504805,6.4585324704012175,5.044419039614216,1.725530055525523,4.523117818819663,7.458055808189838,6.131009803507519,5.372920284408943,2.6418165660187203,7.49062701118104,3.252619685973776,5.1770865139401225,5.456772606084001,3.4216174859205073,3.736765298660476,6.035191349986785,2.6065681162862,2.8302641025124498,1.9489187090084035,7.515421239013798,6.7656675610611,5.515306092246404,4.3693673812914025,3.79422614941274,4.327709000556629,5.479497098558397,5.892798309262912,5.459180357324281,0.44178591019350866,7.205055247820183,7.145201024407337,2.139728437482119,7.747380312804399,5.315419849833533,1.2893221825386254,3.4715273256085886,4.473993100615518,2.1340057873023084,2.833975334134957,3.560293961312011,8.576672963189061
CK 10,0.855867132169338,4.4203068174974725,7.820653080353994,2.305012367606967,2.8376134207396735,2.7975452437554407,8.183422858239277,7.494462783389578,3.755303525540247,6.284853434391007,8.17637971137279,5.446307136936334,1.3918748550391562,4.020378878768566,9.093311328588356,7.849266693793425,2.37440218434643,5.272428112914417,8.301666025528549,5.4711168321914645,4.431959272570419,2.5236683018208756,2.3658803259074994,3.801365808997494,7.571431344045134,5.364659461069927,5.009841289987187,2.2271253215112377,7.535903240999521,6.348000379545341,6.461097207673003,6.87952013335123,3.584055718503394,1.7982494314407613,2.466069388538823,8.073805604026727,2.8140263302920867,3.4538066993049497,9.276849529749022,8.105439985813675,5.136014268178364,8.661048725072316,5.876605705237595,4.138888365663706,6.279060048258879,2.496579143388166,4.865974715228258,5.442417511646219,5.026156801201692,8.585882562449333
