Cloud Kitchen Index (Origin)    Service Station Index (Destination)      Distance (miles)
------------------------------  -------------------------------------  ------------------
CK 1                            SDL 1                                           1.60434
CK 1                            SDL 35                                          4.09062
CK 2                            SDL 8                                           5.5604
CK 2                            SDL 43                                          3.7093
CK 3                            SDL 20                                          2.70186
CK 3                            SDL 49                                          3.10773
CK 4                            SDL 14                                          1.0209
CK 4                            SDL 50                                          5.58759
CK 5                            SDL 21                                          0.0519576
CK 5                            SDL 30                                          1.95932
CK 6                            SDL 9                                           0.906516
CK 6                            SDL 24                                          0.902321
CK 7                            SDL 23                                          1.37622
CK 7                            SDL 46                                          1.87783
CK 8                            SDL 3                                           3.7179
CK 8                            SDL 29                                          3.4676
CK 9                            SDL 5                                           0.611016
CK 9                            SDL 12                                          5.04442
CK 10                           SDL 34                                          1.79825
CK 10                           SDL 37                                          2.81403
CK 11                           SDL 10                                          2.09218
CK 11                           SDL 40                                          4.00373
CK 12                           SDL 19                                          4.06086
CK 12                           SDL 31                                          2.0844
CK 13                           SDL 4                                           1.53189
CK 13                           SDL 22                                          1.74906
CK 14                           SDL 18                                          1.02611
CK 14                           SDL 26                                          1.16886
CK 15                           SDL 25                                          1.63829
CK 15                           SDL 42                                          3.52523
CK 16                           SDL 13                                          0.0766297
CK 16                           SDL 33                                          3.04055
CK 17                           SDL 2                                           0.429461
CK 17                           SDL 44                                          0.113393
CK 18                           SDL 6                                           4.18398
CK 18                           SDL 17                                          3.78116
CK 19                           SDL 47                                          0.356755
CK 19                           SDL 48                                          1.07879
CK 20                           SDL 11                                          1.0035
CK 20                           SDL 15                                          0.929131
CK 21                           SDL 7                                           1.42313
CK 21                           SDL 39                                          0.486541
CK 22                           SDL 16                                          1.12355
CK 22                           SDL 36                                          0.882315
CK 23                           SDL 38                                          0.913097
CK 23                           SDL 41                                          2.42724
CK 24                           SDL 27                                          2.38371
CK 24                           SDL 28                                          0.506261
CK 25                           SDL 32                                          1.35731
CK 25                           SDL 45                                          0.196313
